"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 02:02:39 UTC 2023","Fri Dec 29 02:02:49 UTC 2023","9280","","Adding new transaction with valid data","","","","should add new transaction with valid data",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:52 UTC 2023","11086","","Creating Bank Account with invalid data","","","","should not create Bank Account with invalid data",""
"passed","Fri Dec 29 02:02:39 UTC 2023","Fri Dec 29 02:02:44 UTC 2023","4477","","Creating Bank Account with valid data","","","","""before each"" hook for Creating Bank Account with valid data",""
"passed","Fri Dec 29 02:02:57 UTC 2023","Fri Dec 29 02:03:01 UTC 2023","3891","","Invalid sign up","","","","should not sign up with invalid credentials",""
"passed","Fri Dec 29 02:02:53 UTC 2023","Fri Dec 29 02:03:00 UTC 2023","6740","","Like the transaction","","","","the like icon should be existing",""
"passed","Fri Dec 29 02:02:55 UTC 2023","Fri Dec 29 02:03:00 UTC 2023","5149","","Logout","","","","should logout",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:48 UTC 2023","6568","","Creating Bank Account with invalid data","","","","""before each"" hook for Creating Bank Account with invalid data",""
"passed","Fri Dec 29 02:02:56 UTC 2023","Fri Dec 29 02:03:02 UTC 2023","6248","","Login with invalid Password","","","","should not login with invalid password",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:47 UTC 2023","6663","","Adding a comment to the transaction","","","","""before each"" hook for Adding a comment to the transaction",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:45 UTC 2023","4500","","Changing settings with valid data","","","","""before each"" hook for Changing settings with valid data",""
"passed","Fri Dec 29 02:02:55 UTC 2023","Fri Dec 29 02:03:01 UTC 2023","5565","","Redirection to the contacts payments list","","","","""before each"" hook for Redirection to the contacts payments list",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:53 UTC 2023","11950","","Adding a comment to the transaction","","","","comment input field should be existing",""
"passed","Fri Dec 29 02:02:54 UTC 2023","Fri Dec 29 02:03:00 UTC 2023","5974","","Valid Login","","","","should login with valid credentials",""
"passed","Fri Dec 29 02:02:57 UTC 2023","Fri Dec 29 02:03:03 UTC 2023","5955","","Redirection to the personal payments list","","","","should redirect to the personal payments page",""
"passed","Fri Dec 29 02:02:56 UTC 2023","Fri Dec 29 02:03:02 UTC 2023","5966","","Redirection to the Notifications page","","","","""before each"" hook for Redirection to the Notifications page",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:49 UTC 2023","8412","","Filter payments by amount redirection","","","","should display filter payments by amount form",""
"passed","Fri Dec 29 02:02:57 UTC 2023","Fri Dec 29 02:03:02 UTC 2023","5349","","Redirection to the personal payments list","","","","""before each"" hook for Redirection to the personal payments list",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:54 UTC 2023","13704","","Adding new transaction with invalid data","","","","should not add new transaction with invalid data",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:47 UTC 2023","6044","","Changing settings with invalid data","","","","""before each"" hook for Changing settings with invalid data",""
"passed","Fri Dec 29 02:02:56 UTC 2023","Fri Dec 29 02:03:02 UTC 2023","5933","","Login with invalid Username","","","","should not login with invalid username",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:46 UTC 2023","5520","","Filter payments by amount redirection","","","","""before each"" hook for Filter payments by amount redirection",""
"passed","Fri Dec 29 02:02:55 UTC 2023","Fri Dec 29 02:03:02 UTC 2023","6890","","Redirection to the contacts payments list","","","","should redirect to the contacts page",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:50 UTC 2023","9051","","Filter payments by date redirection","","","","should display filter payments by date form",""
