"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 02:02:56 UTC 2023","Fri Dec 29 02:03:03 UTC 2023","7082","","Redirection to the Notifications page","","","","should redirect to the notifications page",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:48 UTC 2023","6810","","Adding new transaction with invalid data","","","","""before each"" hook for Adding new transaction with invalid data",""
"passed","Fri Dec 29 02:02:39 UTC 2023","Fri Dec 29 02:02:44 UTC 2023","4445","","Adding new transaction with valid data","","","","""before each"" hook for Adding new transaction with valid data",""
"passed","Fri Dec 29 02:02:55 UTC 2023","Fri Dec 29 02:03:00 UTC 2023","5096","","Logout","","","","""before each"" hook for Logout",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:50 UTC 2023","9539","","Changing settings with invalid data","","","","should not change settings with invalid data",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:49 UTC 2023","8108","","Deleting the notification","","","","delete button should be enabled",""
"passed","Fri Dec 29 02:02:39 UTC 2023","Fri Dec 29 02:02:48 UTC 2023","8713","","Creating Bank Account with valid data","","","","should create Bank Account with valid data",""
"passed","Fri Dec 29 02:03:03 UTC 2023","Fri Dec 29 02:03:05 UTC 2023","1757","","Valid sign up","","","","should sign up with valid credentials",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:46 UTC 2023","5319","","Deleting the notification","","","","""before each"" hook for Deleting the notification",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:49 UTC 2023","8601","","Changing settings with valid data","","","","should change settings with valid data",""
"passed","Fri Dec 29 02:02:53 UTC 2023","Fri Dec 29 02:02:58 UTC 2023","4654","","Like the transaction","","","","""before each"" hook for Like the transaction",""
"passed","Fri Dec 29 02:02:41 UTC 2023","Fri Dec 29 02:02:48 UTC 2023","6620","","Filter payments by date redirection","","","","""before each"" hook for Filter payments by date redirection",""
